"matchup","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"Rockets - Hawks",1458.03815022055,1469.27419763357,1507.96780879121,1544.47878312669,1482.32191579446,1497.26152520308,1416.56796428264,1430.69363078918,1485.1551319386,1543.99782085219,1582.23849550287,1581.74058920089,1552.31751825047,1506.11268210437,1541.92265172414,1487.48683658537,1514.38967850438,1614.70807912442,1562.38264690611,1562.71495894928,1599.21344582964,1562.63728300588,1550.93611465788,1455.71498170732,1448.05900426829,1423.37143170732,1461.61057804878,1483.27920569106,1436.59960156207,1410.96772012195,1483.61362880926,1520.59859126021,1569.58322245048,1574.87167719643,1525.5861973015,1533.48099646465,1542.01201988636,1546.63074296476,1614.60205894661
"Rockets - Celtics",1522.31486447276,1458.01253963415,1451.01622073171,1553.66715019756,1582.70803082279,1595.44508453692,1490.83232752124,1512.03440811266,1592.48220319719,1641.04765481373,1617.52823162008,1594.97126130491,1525.54005543776,1522.66172548115,1585.3396827957,1523.33333305939,1549.70158189015,1537.5502281475,1515.81192360241,1507.62627325203,1465.34645439273,1466.81285539669,1476.27465796296,1460.3349902439,1494.89719329268,1494.13815378298,1511.38992236214,1511.54883992248,1532.6993988764,1492.51944939024,1484.68628002877,1623.96089530724,1659.33084824013,1592.05978902439,1587.23278719512,1552.27347230444,1543.51482551594,1516.8500202051,1523.34200404628
"Rockets - Pacers",1508.93582583031,1452.50027134146,1466.37691585366,1492.1188071595,1507.36510201687,1500.26021830703,1349.05365731707,1373.99344207317,1439.91421242641,1479.05630321616,1506.45004354146,1525.58028149461,1466.53334876631,1491.96775156635,1516.26527413793,1498.80763091105,1537.7370638669,1594.44105829932,1604.92237258644,1594.16727977011,1563.79929890493,1580.67380792282,1572.85552407407,1543.80141594657,1530.55877236245,1477.54642345809,1526.22306675443,1588.70439268707,1556.75550004731,1520.31492282428,1521.88211112634,1520.40800081763,1540.14527556483,1495.66251402439,1497.81262225259,1540.31503116883,1568.64852611364,1613.42312039829,1550.66751957379
"Rockets - Clippers",1489.60954229372,1434.43840670732,1463.6769597561,1488.14573703754,1464.30293591641,1446.64944452654,1339.32198292683,1389.04985243902,1455.87649657275,1470.15834346007,1422.34395436108,1411.19892295803,1393.87250791265,1439.60861747022,1471.9160195122,1483.60344477853,1539.81632083028,1522.24533424506,1454.53452205675,1489.81663544715,1505.78085443577,1433.18424625035,1397.58714896296,1369.91588841463,1448.10310426829,1478.79131097561,1463.23497560976,1497.41119227642,1513.62466558646,1524.05926933057,1546.11748917512,1512.13677154933,1472.56881397946,1464.86738841463,1450.14808109756,1533.88197012987,1593.71702443182,1630.93419544258,1640.20763104482
"Rockets - Bucks",1472.45762704982,1474.52640143393,1494.35210243902,1533.31319719101,1571.185842473,1576.82825453209,1467.12974277003,1479.86591409905,1570.40525954023,1611.29061087623,1569.43353370722,1554.45259502138,1543.49668504344,1506.90340697674,1546.26353705882,1480.52465426829,1486.8902745589,1487.37728302555,1483.49805681285,1488.65159215447,1508.66880317322,1496.2953108845,1509.5127044724,1488.97992412391,1553.45933729268,1505.240875,1490.85763266353,1539.35659367816,1505.17004058646,1478.76611607794,1506.58655868731,1486.42519776885,1519.29301641849,1530.81707160866,1501.26774939024,1511.73151515152,1520.36109929968,1466.84333605876,1538.5089925505
"Rockets - Lakers",1545.8763905628,1505.67509560976,1533.79258777778,1564.85021919285,1564.71187154769,1564.00242721201,1490.50429969198,1485.83308408122,1580.3147342267,1627.07732910539,1609.52933873913,1616.20854044537,1578.5766491309,1583.42182894838,1605.47486732673,1510.47803182076,1513.97621680729,1522.67574034262,1553.96950094064,1585.06927852713,1597.70095121664,1595.63918781004,1569.16213020434,1569.51735737515,1587.18391727227,1576.30876648756,1551.38031062532,1597.96021474359,1546.19270887914,1516.22214683475,1556.12910644453,1619.08813963482,1667.89093010025,1624.13794235772,1583.42085295599,1561.3621710373,1546.9477969741,1513.8510756929,1498.53861042745
"Rockets - Knicks",1515.04606851323,1486.24294549612,1473.83664756098,1481.35991142779,1513.7286680883,1500.46217318508,1413.94568100055,1485.67610849766,1467.03495449958,1465.56731114299,1452.44393301962,1493.18355465116,1544.7299410874,1518.75071903438,1516.63990823529,1521.90548148677,1598.15537225817,1641.67640450378,1604.96946698201,1582.88364777778,1589.29913876442,1556.3076152986,1537.30197082011,1520.79972557242,1541.34928955705,1446.57565731707,1470.95853109756,1512.82361143411,1497.90439729378,1438.56882256098,1495.08441539463,1482.48340630543,1509.01241702824,1483.66687073171,1497.81115521838,1516.86815288092,1574.8649753264,1542.81355435144,1489.39042018354
"Rockets - Bulls",1501.30623883604,1498.62307804878,1448.46450731707,1462.81712362291,1497.64823884047,1499.79285672166,1372.10065670732,1396.62376036585,1473.34915655573,1486.93888401961,1508.5268104156,1558.13946251264,1536.49890294221,1544.5286086972,1618.37039949495,1621.03324712711,1619.00254987887,1622.91046812629,1587.90853735368,1669.93292366667,1688.46673878056,1624.07273625153,1510.86379096296,1384.85553658537,1401.9141695122,1376.1106054878,1431.75004878049,1460.4784898374,1514.61195946119,1507.17336486973,1575.97100933683,1543.59834593958,1544.90243723241,1524.30185856462,1564.88209433798,1599.87023813131,1554.43155564555,1569.88537386364,1597.19895355147
"Rockets - Cavaliers",1539.67307118899,1480.96578751452,1469.56963963415,1478.89248154974,1464.58079567251,1417.15948903874,1309.31830243902,1383.67376036585,1456.72082225341,1518.2582763869,1473.51009033669,1525.22179042368,1579.91752917001,1496.06105881449,1500.04961829268,1535.54785712614,1594.58646638415,1604.8269562465,1569.92244395125,1556.76815960784,1564.31706292932,1545.47601730821,1521.73857696296,1447.50379573171,1478.50354085366,1423.73100609756,1409.1789054878,1474.36494776423,1530.01056192793,1523.88934554557,1573.3352471139,1567.98484636962,1650.28349980263,1639.6877766588,1446.3960847561,1447.87961742424,1454.97917889412,1499.2370799612,1595.54845852644
"Rockets - Nets",1481.71966729372,1393.63445121951,1460.2895327381,1473.95172362291,1436.02504933104,1487.55342222689,1448.28266300813,1462.07238121558,1510.62401679513,1530.78404754902,1470.70750984889,1448.48677600681,1442.11717681509,1400.29659734827,1442.61450365854,1452.95939635564,1535.40724956591,1575.88457525471,1528.19633486163,1497.33653361789,1473.42280805127,1519.03756678837,1476.58386196296,1457.13574695122,1466.57576097561,1494.87999179818,1547.77605847681,1571.13578010753,1511.79114939247,1525.63589792814,1534.28054413101,1519.7048483786,1529.1770828819,1435.18950792683,1430.54241402439,1436.17592272727,1530.14124528218,1557.70434726789,1546.20610448232
