"rank","matchup"
"1","Lakers - Spurs"
"2","Lakers - Suns"
"3","Lakers - Trailblazers"
"4","Lakers - Thunder"
"5","Suns - Spurs"
"6","Celtics - Lakers"
"7","Spurs - Trailblazers"
"8","Spurs - Thunder"
"9","Rockets - Lakers"
"10","Spurs - Heat"
"11","Lakers - Jazz"
"12","Celtics - Spurs"
"13","Spurs - Magic"
"14","Rockets - Spurs"
"15","Lakers - Bulls"
"16","Jazz - Spurs"
"17","Lakers - Pistons"
"18","Suns - Trailblazers"
"19","Bulls - Spurs"
"20","Pacers - Lakers"
"21","Suns - Thunder"
"22","Lakers - Sixers"
"23","Pistons - Spurs"
"24","Lakers - Mavericks"
"25","Hawks - Lakers"
"26","Spurs - Pelicans"
"27","Trailblazers - Thunder"
"28","Celtics - Suns"
"29","Bucks - Lakers"
"30","Lakers - Heat"
"31","Pacers - Spurs"
"32","Lakers - Knicks"
"33","Sixers - Spurs"
"34","Rockets - Suns"
"35","Celtics - Trailblazers"
"36","Spurs - Mavericks"
"37","Suns - Jazz"
"38","Celtics - Thunder"
"39","Spurs - Raptors"
"40","Hawks - Spurs"
"41","Lakers - Nuggets"
"42","Bucks - Spurs"
"43","Rockets - Trailblazers"
"44","Suns - Heat"
"45","Knicks - Spurs"
"46","Jazz - Trailblazers"
"47","Lakers - Cavaliers"
"48","Rockets - Thunder"
"49","Jazz - Heat"
"50","Bulls - Suns"
"51","Jazz - Thunder"
"52","Spurs - Grizzlies"
"53","Nuggets - Spurs"
"54","Lakers - Magic"
"55","Rockets - Celtics"
"56","Bulls - Trailblazers"
"57","Pistons - Suns"
"58","Celtics - Jazz"
"59","Thunder - Heat"
"60","Cavaliers - Spurs"
"61","Bulls - Thunder"
"62","Pistons - Trailblazers"
"63","Rockets - Heat"
"64","Pacers - Suns"
"65","Lakers - Pelicans"
"66","Rockets - Jazz"
"67","Suns - Sixers"
"68","Trailblazers - Heat"
"69","Suns - Magic"
"70","Pistons - Thunder"
"71","Celtics - Bulls"
"72","Spurs - Hornets"
"73","Spurs - Timberwolves"
"74","Lakers - Warriors"
"75","Jazz - Magic"
"76","Lakers - Kings"
"77","Hawks - Suns"
"78","Bulls - Heat"
"79","Pacers - Trailblazers"
"80","Sixers - Trailblazers"
"81","Bucks - Suns"
"82","Suns - Mavericks"
"83","Rockets - Bulls"
"84","Celtics - Pistons"
"85","Pacers - Thunder"
"86","Lakers - Wizards"
"87","Sixers - Thunder"
"88","Knicks - Suns"
"89","Bulls - Jazz"
"90","Hawks - Trailblazers"
"91","Thunder - Magic"
"92","Suns - Pelicans"
"93","Bucks - Trailblazers"
"94","Warriors - Spurs"
"95","Hawks - Thunder"
"96","Rockets - Pistons"
"97","Jazz - Pelicans"
"98","Celtics - Pacers"
"99","Trailblazers - Mavericks"
"100","Bucks - Thunder"
"101","Kings - Spurs"
"102","Celtics - Sixers"
"103","Lakers - Nets"
"104","Knicks - Trailblazers"
"105","Rockets - Magic"
"106","Pistons - Jazz"
"107","Nuggets - Suns"
"108","Pacers - Heat"
"109","Thunder - Mavericks"
"110","Trailblazers - Magic"
"111","Celtics - Mavericks"
"112","Knicks - Thunder"
"113","Spurs - Wizards"
"114","Jazz - Mavericks"
"115","Cavaliers - Suns"
"116","Hawks - Celtics"
"117","Rockets - Pacers"
"118","Rockets - Sixers"
"119","Lakers - Raptors"
